Frame,Hydrogen,Donor,Acceptor(s),Donor-Hydrogen Distance,Hydrogen-Acceptor(s) Distance(s),Donor-Acceptor(s) Distance(s),Angle(A-H-D)
0,624,613,[536],1.059904786842143,[1.4197768265598876],[2.4718888781732162],[170.81539035869224]
0,625,612,[537],1.0392082765642319,[1.5156172397599141],[2.5395628459086352],[167.2433912317554]
0,626,615,[538],1.0334314256826422,[1.559761005310487],[2.5875225097436423],[172.2595457725712]
0,627,614,[539],1.0410796761452232,[1.5352114315740009],[2.561692184235321],[167.5632691524598]
0,628,508,,0.9925492157172632,,,
0,629,509,,0.9614177000440265,,,
0,630,510,,0.9692777563188272,,,
0,631,511,,0.9590020197529541,,,
0,632,212,[576],1.082500510061896,[1.373084839214787],[2.4106713154396484],[157.89218022259223]
0,633,213,[577],1.079351470559808,[1.4473230331364704],[2.480199876494365],[157.74729757050412]
0,634,214,[578],1.0809420418317133,[1.4121490264006646],[2.4679775543802505],[163.5747997946322]
0,635,215,[579],1.0154245941597948,[1.4767993402452837],[2.4754515106230306],[166.46297714509905]
0,636,618,[216],1.0313854685678678,[1.679051278317375],[2.6397694845911115],[152.97866494024493]
0,637,619,[217],1.0014170121237844,[1.8805468399915992],[2.733456734404531],[141.13150832596838]
0,638,616,[218],0.9813419332633869,[1.713410492552313],[2.6486729445003956],[157.9386773448878]
0,639,617,[219],1.0162438168722305,[1.8472251238638453],[2.8469640887298677],[167.13479137841827]
0,640,512,,0.989620211942311,,,
0,641,513,,0.9698402807805092,,,
0,642,514,,0.988584552263603,,,
0,643,515,,0.9621037440655713,,,
0,644,268,,1.0004492404044563,,,
0,645,269,,1.005838311114084,,,
0,646,270,,0.9452459722599386,,,
0,647,271,,0.9502538104421877,,,
0,648,576,[570],1.03003860020238,[1.573123418256057],[2.572937673199532],[162.1245486422922]
0,649,577,[571],0.9888982325280036,[1.6946055423569615],[2.5593208466830806],[143.68205767896126]
0,650,578,[568],0.9911973707154574,[2.0450445713735443],[2.7115074704071285],[122.65655835614929]
0,651,579,[569],0.9860543759583095,[1.8485533415795683],[2.7520376014670944],[150.86380978560945]
0,652,576,,0.9557108744854586,,,
0,653,577,,0.9649908875066249,,,
0,654,578,,1.0310791509669126,,,
0,655,579,,0.9615795341264418,,,
0,656,580,[604],0.9637760814226217,[2.145433782028279],[3.0429755999800894],[154.35129748006446]
0,657,581,[605],0.973758969189248,[1.785010122439322],[2.739191833892655],[165.70512761052427]
0,658,582,[606],0.9807455600681463,[1.7555633645921838],[2.734018551231148],[175.1109128190556]
0,659,583,[607],0.9756726381347243,[2.324701153420325],[3.181190717580191],[146.06879721456676]
0,660,580,[588],0.9320147022138847,[1.8399815526928658],[2.7392348486698785],[161.32614478530562]
0,661,581,[589],0.9715031070940556,[1.9551418678304753],[2.8881147309560222],[160.22410875985216]
0,662,582,[590],1.0010776167869744,[1.8680282173762845],[2.8568532803087674],[168.8848403524423]
0,663,583,[591],0.9774611251767209,[1.6402985727604524],[2.606948859419439],[169.23009893381285]
0,664,584,[274],0.9630479442150127,[1.840973026033995],[2.7549674487507163],[157.38319603986514]
0,665,585,[275],0.981777308495512,[1.9455400016769375],[2.8377644416356254],[149.86608696848606]
0,666,586,[272],0.9650072127376844,[1.9772491541107264],[2.785201262052238],[139.84319439368733]
0,667,587,[273],0.9700775139031054,[1.7139589061350957],[2.6782234310677597],[172.14886006896123]
0,668,584,,0.9470857541778285,,,
0,669,585,,0.9766403256067033,,,
0,670,586,,0.975051725964419,,,
0,671,587,,0.9839474116939977,,,
0,672,588,,0.9488700664072183,,,
0,673,589,,0.9619734303813235,,,
0,674,590,,0.9900316626056282,,,
0,675,591,,0.9649428024126583,,,
0,676,588,[261],0.9855090685721329,[1.7299694709436693],[2.6493306406650996],[153.62765048332753]
0,677,589,[260],0.9622633630608756,[2.157372392475445],[3.0563060409520677],[154.93093047847017]
0,678,590,,0.9436389135740335,,,
0,679,591,[262],0.9719564526949898,[1.7796928123869944],[2.6815622786688147],[152.86435061345108]
0,680,592,[620],1.0304672003202417,[1.5289672540748465],[2.5570434022169386],[174.9495841630513]
0,681,593,[621],1.0248105464922521,[1.5967899732059698],[2.616588716201491],[172.73801605115335]
0,682,594,[622],1.04913743894389,[1.6242632650088251],[2.6663992978718847],[171.50563022977235]
0,683,595,[623],1.0470358375279203,[1.6493642933819646],[2.6452109127715513],[157.0482080627355]
