Frame,Donor,Acceptor,Distance
0,613,536,2.4718888781732162
0,612,537,2.5395628459086352
0,615,538,2.5875225097436423
0,614,539,2.561692184235321
0,212,576,2.4106713154396484
0,213,577,2.480199876494365
0,214,578,2.4679775543802505
0,215,579,2.4754515106230306
0,618,216,2.6397694845911115
0,619,217,2.733456734404531
0,616,218,2.6486729445003956
0,617,219,2.8469640887298677
0,576,570,2.572937673199532
0,577,571,2.5593208466830806
0,578,568,2.7115074704071285
0,579,569,2.7520376014670944
0,580,604,3.0429755999800894
0,581,605,2.739191833892655
0,582,606,2.734018551231148
0,583,607,3.181190717580191
0,580,588,2.7392348486698785
0,581,589,2.8881147309560222
0,582,590,2.8568532803087674
0,583,591,2.606948859419439
0,584,274,2.7549674487507163
0,585,275,2.8377644416356254
0,586,272,2.785201262052238
0,587,273,2.6782234310677597
0,588,261,2.6493306406650996
0,589,260,3.0563060409520677
0,591,262,2.6815622786688147
0,592,620,2.5570434022169386
0,593,621,2.616588716201491
0,594,622,2.6663992978718847
0,595,623,2.6452109127715513
0,592,605,3.143650262655693
0,593,604,2.9713910015415888
0,595,606,2.952215548055161
0,596,525,2.7167122611655845
0,597,524,2.8662696457018333
0,598,527,2.9666784944720086
0,599,526,2.817895868823193
0,600,594,2.491003047065795
0,601,595,2.449662246522639
0,602,592,2.56145611132356
0,603,593,2.4898766171476336
0,600,252,2.901266174439703
0,601,253,2.8581718255331547
0,602,254,2.9093460299392997
0,603,255,3.23119487478107
0,604,610,2.8810007380335327
0,605,611,2.8067560513856
0,606,608,2.8279646552437563
0,607,609,2.8250099711259486
0,608,489,2.748325083411571
0,608,201,2.7976132401833755
0,609,488,2.685621440484346
0,610,491,2.6456982626958365
0,611,490,2.6647602447141683
0,610,284,2.9935217409507042
0,612,608,2.506921650238506
0,613,609,2.5389009825465707
0,614,610,2.6527882361062827
0,615,611,2.670682772914251
0,612,596,2.5894950008617657
0,613,597,2.615859919889897
0,614,598,2.652456589276024
0,615,599,2.4445425323262384
0,600,616,2.4060309597171377
0,617,601,2.4744022526906706
0,618,602,2.3655805701709687
0,619,603,2.44779656647289
0,616,584,2.554574403982039
0,617,585,2.621387833852391
0,618,586,2.6046195896639786
0,619,587,2.664045949125993
0,620,581,2.672536428109113
0,621,580,2.7127164383946702
0,622,583,2.5214133147051063
0,623,582,2.7277672220539504
0,620,244,2.9940218340487132
0,621,245,3.0489840035114972
0,622,246,3.1942454569682885
1,613,536,2.5726161685945335
1,612,489,2.722639675554623
1,615,538,2.5073550953793453
1,614,539,2.6640169873237496
1,509,596,2.588699475143633
1,576,620,2.5274401469881487
