Frame Number,Number of Clusters,Number of Outliers,Silhouette Score,Average Cluster Size
0,4,9,0.2822380257988486,15.75
100,10,14,0.4364648908406611,5.8
200,12,5,0.25777613908438807,5.583333333333333
300,10,11,0.2388785367547209,6.1
400,13,6,0.29114941962256935,5.076923076923077
500,10,12,0.3875309902559659,6.0
600,9,8,0.21684325044201938,7.111111111111111
700,12,8,0.32160219680971924,5.333333333333333
800,9,4,0.3500681386753324,7.555555555555555
900,10,8,0.2892500778428168,6.4
1000,9,7,0.21920719278833412,7.222222222222222
1100,7,11,0.4055124571594742,8.714285714285714
1200,9,5,0.3234238749897247,7.444444444444445
1300,12,8,0.26608505424589535,5.333333333333333
1400,8,8,0.35709782497843406,8.0
1500,9,7,0.2949034744593545,7.222222222222222
1600,9,3,0.29680888499638547,7.666666666666667
1700,10,10,0.2729052474641108,6.2
1800,10,6,0.2726999243113919,6.6
1900,9,8,0.24310831900078125,7.111111111111111
2000,8,5,0.23661088059915858,8.375
2100,8,4,0.23599559372413167,8.5
2200,8,2,0.3406529476652263,8.75
2300,7,4,0.34839308893577214,9.714285714285714
2400,12,2,0.259094689327498,5.833333333333333
2500,9,10,0.37104899734336294,6.888888888888889
2600,7,3,0.29133576990342563,9.857142857142858
2700,9,5,0.23169069781033458,7.444444444444445
2800,9,7,0.383273264453414,7.222222222222222
2900,9,9,0.31690656734085776,7.0
3000,7,4,0.3997618340972082,9.714285714285714
3100,8,8,0.39967938739135545,8.0
3200,8,9,0.3231292089932588,7.875
3300,8,11,0.3147133302824487,7.625
3400,7,8,0.28953887867827144,9.142857142857142
3500,9,8,0.3587182283173343,7.111111111111111
3600,6,5,0.4508885177959596,11.166666666666666
3700,10,11,0.2457701197052128,6.1
3800,9,5,0.35531147727965456,7.444444444444445
3900,9,13,0.3720321766900385,6.555555555555555
4000,11,12,0.25750956313166395,5.454545454545454
4100,9,6,0.32988862232600924,7.333333333333333
4200,9,10,0.33338287918317133,6.888888888888889
4300,8,8,0.3918616729275143,8.0
4400,9,11,0.29145272497894137,6.777777777777778
4500,8,8,0.41973226660728485,8.0
4600,10,8,0.2923898255442855,6.4
4700,8,4,0.3058903974044834,8.5
4800,8,11,0.2966870007635671,7.625
4900,4,4,0.529332367760417,17.0
5000,9,5,0.338762129352648,7.444444444444445
5100,12,4,0.2558790006031628,5.666666666666667
5200,10,5,0.2808433098706725,6.7
5300,7,3,0.3510034163475308,9.857142857142858
5400,9,8,0.19047260387924467,7.111111111111111
5500,8,1,0.2974924344765651,8.875
5600,10,3,0.18045701229808342,6.9
5700,7,10,0.3541378661264491,8.857142857142858
5800,6,8,0.4114361678471895,10.666666666666666
5900,8,5,0.3940713041304895,8.375
6000,12,8,0.2714023823168745,5.333333333333333
6100,10,2,0.3431745073829247,7.0
6200,10,8,0.202391704750067,6.4
6300,7,6,0.437795391069634,9.428571428571429
6400,11,7,0.28500860342572965,5.909090909090909
6500,7,2,0.2990554813507135,10.0
6600,7,5,0.388021796272996,9.571428571428571
6700,7,10,0.4309504727982174,8.857142857142858
6800,10,2,0.2908397432212725,7.0
6900,9,5,0.25685819964929674,7.444444444444445
7000,8,4,0.38323005421840733,8.5
7100,6,5,0.438534570229371,11.166666666666666
7200,7,3,0.3783993543813208,9.857142857142858
7300,9,2,0.3333485929734057,7.777777777777778
7400,7,4,0.4253342249140438,9.714285714285714
7500,9,9,0.3352167222678,7.0
7600,10,9,0.3025295207935395,6.3
7700,9,6,0.32204096569221413,7.333333333333333
7800,10,4,0.34793050868285147,6.8
7900,7,8,0.30992683299973717,9.142857142857142
8000,7,7,0.3910089182436959,9.285714285714286
8100,8,3,0.33966716275146486,8.625
8200,10,8,0.35316784001021406,6.4
8300,9,4,0.23141551821522924,7.555555555555555
8400,8,8,0.3127388045302647,8.0
8500,7,10,0.4110977525021664,8.857142857142858
8600,9,11,0.3472109654428945,6.777777777777778
8700,6,8,0.40236445698074697,10.666666666666666
8800,9,3,0.2621779183661271,7.666666666666667
8900,9,5,0.29008239512081296,7.444444444444445
9000,10,5,0.28020318729513305,6.7
9100,8,7,0.38381317561373574,8.125
9200,10,3,0.33828172087604746,6.9
9300,9,5,0.316509440556587,7.444444444444445
9400,11,7,0.2834464540725959,5.909090909090909
9500,6,8,0.4254322770276155,10.666666666666666
9600,10,4,0.3652227514708514,6.8
9700,4,6,0.5391390520918085,16.5
9800,11,1,0.23183756418723148,6.454545454545454
9900,10,10,0.24964765403991662,6.2
10000,9,4,0.2760478137857236,7.555555555555555
10100,7,8,0.359180191557779,9.142857142857142
10200,7,5,0.37941294722688645,9.571428571428571
10300,7,8,0.3391402795689457,9.142857142857142
10400,6,7,0.3811829109735355,10.833333333333334
10500,8,8,0.3120611199259191,8.0
10600,7,4,0.2931023319124961,9.714285714285714
10700,7,7,0.4030480650480406,9.285714285714286
10800,8,12,0.35594728042905527,7.5
10900,6,6,0.429072671107639,11.0
11000,8,10,0.32779295569887273,7.75
11100,10,8,0.29037499749194745,6.4
11200,12,5,0.22951022023494017,5.583333333333333
11300,7,7,0.2773673634574137,9.285714285714286
11400,10,9,0.24554317630606934,6.3
