Frame Number,Number of Clusters,Number of Outliers,Silhouette Score,Average Cluster Size
0,4,9,0.2822380257988486,15.75
1000,9,7,0.21920719278833412,7.222222222222222
2000,8,5,0.23661088059915858,8.375
3000,7,4,0.3997618340972082,9.714285714285714
4000,11,12,0.25750956313166395,5.454545454545454
5000,9,5,0.338762129352648,7.444444444444445
6000,12,8,0.2714023823168745,5.333333333333333
7000,8,4,0.38323005421840733,8.5
8000,7,7,0.3910089182436959,9.285714285714286
9000,10,5,0.28020318729513305,6.7
10000,9,4,0.2760478137857236,7.555555555555555
11000,8,10,0.32779295569887273,7.75
12000,8,5,0.3457579190022656,8.375
13000,8,8,0.35949433293292343,8.0
14000,6,3,0.3957087882626841,11.5
15000,9,4,0.3018288920310635,7.555555555555555
16000,9,6,0.30016474081030103,7.333333333333333
17000,8,3,0.34437621212047315,8.625
18000,6,3,0.3823779207321628,11.5
19000,8,5,0.33932317378798854,8.375
20000,9,8,0.32897313984425103,7.111111111111111
21000,7,4,0.34592474645042437,9.714285714285714
