Time_ps	1_index	2_index	Distance_A
0.000	576	576	0.000
0.000	576	641	2.951
0.000	577	577	0.000
0.000	577	617	2.754
0.000	577	640	2.969
0.000	578	578	0.000
0.000	578	643	2.998
0.000	579	579	0.000
0.000	580	580	0.000
0.000	580	588	2.769
0.000	581	581	0.000
0.000	581	585	2.967
0.000	581	589	2.655
0.000	581	613	2.773
0.000	582	582	0.000
0.000	582	590	2.726
0.000	582	614	2.935
0.000	583	583	0.000
0.000	583	591	2.748
0.000	583	615	2.917
0.000	584	584	0.000
0.000	584	604	2.885
0.000	585	581	2.967
0.000	585	585	0.000
0.000	585	605	2.780
0.000	585	613	2.996
0.000	586	586	0.000
0.000	586	606	2.795
0.000	586	614	2.964
0.000	587	587	0.000
0.000	587	607	2.771
0.000	587	615	2.960
0.000	588	580	2.769
0.000	588	588	0.000
0.000	588	608	2.704
0.000	588	640	2.949
0.000	589	581	2.655
0.000	589	589	0.000
0.000	589	609	2.683
0.000	590	582	2.726
0.000	590	590	0.000
0.000	590	610	2.852
0.000	590	642	2.852
0.000	591	583	2.748
0.000	591	591	0.000
0.000	592	592	0.000
0.000	592	600	2.767
0.000	592	624	2.749
0.000	593	593	0.000
0.000	593	625	2.928
0.000	594	594	0.000
0.000	594	626	2.857
0.000	595	595	0.000
0.000	595	627	2.779
0.000	596	596	0.000
0.000	596	600	2.905
0.000	596	616	2.866
0.000	597	597	0.000
0.000	597	601	2.883
0.000	597	617	2.896
0.000	598	598	0.000
0.000	598	602	2.708
0.000	598	618	2.840
0.000	599	599	0.000
0.000	599	603	2.764
0.000	599	619	2.774
0.000	600	592	2.767
0.000	600	596	2.905
0.000	600	600	0.000
0.000	600	612	2.787
0.000	600	644	2.761
0.000	601	597	2.883
0.000	601	601	0.000
0.000	601	613	2.941
0.000	601	645	2.824
0.000	602	598	2.708
0.000	602	602	0.000
0.000	602	614	2.849
0.000	602	646	2.934
0.000	603	599	2.764
0.000	603	603	0.000
0.000	603	615	2.800
0.000	603	647	2.907
0.000	604	584	2.885
0.000	604	604	0.000
0.000	604	640	2.853
0.000	605	585	2.780
0.000	605	605	0.000
0.000	605	609	2.976
0.000	605	641	2.878
0.000	606	586	2.795
0.000	606	606	0.000
0.000	606	610	2.787
0.000	607	587	2.771
0.000	607	607	0.000
0.000	607	611	2.919
0.000	608	588	2.704
0.000	608	608	0.000
0.000	608	632	2.968
0.000	609	589	2.683
0.000	609	605	2.976
0.000	609	609	0.000
0.000	609	633	2.799
0.000	610	590	2.852
0.000	610	606	2.787
0.000	610	610	0.000
0.000	611	607	2.919
0.000	611	611	0.000
0.000	611	635	2.951
0.000	612	600	2.787
0.000	612	612	0.000
0.000	612	632	2.708
0.000	613	581	2.773
0.000	613	585	2.996
0.000	613	601	2.941
0.000	613	613	0.000
0.000	613	633	2.734
0.000	614	582	2.935
0.000	614	586	2.964
0.000	614	602	2.849
0.000	614	614	0.000
0.000	615	583	2.917
0.000	615	587	2.960
0.000	615	603	2.800
0.000	615	615	0.000
0.000	615	635	2.785
0.000	616	596	2.866
0.000	616	616	0.000
0.000	616	644	2.837
0.000	617	577	2.754
0.000	617	597	2.896
0.000	617	617	0.000
0.000	617	645	2.708
0.000	618	598	2.840
0.000	618	618	0.000
0.000	618	646	2.890
0.000	619	599	2.774
0.000	619	619	0.000
0.000	619	647	2.779
0.000	620	620	0.000
0.000	620	628	2.907
0.000	620	632	2.730
0.000	621	621	0.000
0.000	621	629	2.753
0.000	621	633	2.775
0.000	622	622	0.000
0.000	622	630	2.840
0.000	622	634	2.974
0.000	623	623	0.000
0.000	623	631	2.782
0.000	623	635	2.978
0.000	624	592	2.749
0.000	624	624	0.000
0.000	624	628	2.901
0.000	625	593	2.928
0.000	625	625	0.000
0.000	625	629	2.926
0.000	626	594	2.857
0.000	626	626	0.000
0.000	627	595	2.779
0.000	627	627	0.000
0.000	627	631	2.927
0.000	628	620	2.907
0.000	628	624	2.901
0.000	628	628	0.000
0.000	629	621	2.753
0.000	629	625	2.926
0.000	629	629	0.000
0.000	630	622	2.840
0.000	630	630	0.000
0.000	631	623	2.782
0.000	631	627	2.927
0.000	631	631	0.000
0.000	632	608	2.968
0.000	632	612	2.708
0.000	632	620	2.730
0.000	632	632	0.000
0.000	633	609	2.799
0.000	633	613	2.734
0.000	633	621	2.775
0.000	633	633	0.000
0.000	634	622	2.974
0.000	634	634	0.000
0.000	635	611	2.951
0.000	635	615	2.785
0.000	635	623	2.978
0.000	635	635	0.000
0.000	636	636	0.000
0.000	637	637	0.000
0.000	638	638	0.000
0.000	639	639	0.000
0.000	640	577	2.969
0.000	640	588	2.949
0.000	640	604	2.853
0.000	640	640	0.000
0.000	641	576	2.951
0.000	641	605	2.878
0.000	641	641	0.000
0.000	642	590	2.852
0.000	642	642	0.000
0.000	643	578	2.998
0.000	643	643	0.000
0.000	644	600	2.761
0.000	644	616	2.837
0.000	644	644	0.000
0.000	645	601	2.824
0.000	645	617	2.708
0.000	645	645	0.000
0.000	646	602	2.934
0.000	646	618	2.890
0.000	646	646	0.000
0.000	647	603	2.907
0.000	647	619	2.779
0.000	647	647	0.000
5.000	576	576	0.000
5.000	576	589	2.357
5.000	576	600	2.609
5.000	576	641	2.678
5.000	577	577	0.000
5.000	577	640	2.452
5.000	578	578	0.000
5.000	578	587	2.728
5.000	578	643	2.578
5.000	579	579	0.000
5.000	579	586	2.469
5.000	579	642	2.476
5.000	580	580	0.000
5.000	580	612	2.543
5.000	580	636	2.849
5.000	581	581	0.000
5.000	581	638	2.630
5.000	582	582	0.000
5.000	582	642	2.893
5.000	583	583	0.000
5.000	583	607	2.881
5.000	583	611	2.951
5.000	583	643	2.374
5.000	584	584	0.000
5.000	584	640	2.672
5.000	585	585	0.000
5.000	586	579	2.469
5.000	586	586	0.000
5.000	586	614	2.708
5.000	587	578	2.728
5.000	587	587	0.000
5.000	588	588	0.000
5.000	588	640	2.719
5.000	589	576	2.357
5.000	589	589	0.000
5.000	589	605	2.800
5.000	590	590	0.000
5.000	590	606	2.499
5.000	591	591	0.000
5.000	592	592	0.000
5.000	592	632	2.773
5.000	592	644	2.814
5.000	593	593	0.000
5.000	593	601	2.840
5.000	593	625	2.610
5.000	594	594	0.000
5.000	594	626	2.455
5.000	594	630	2.589
5.000	595	595	0.000
5.000	595	599	2.870
5.000	595	627	2.853
5.000	595	635	2.978
5.000	596	596	0.000
5.000	596	612	2.817
5.000	596	644	2.884
5.000	597	597	0.000
5.000	597	617	2.758
5.000	598	598	0.000
5.000	598	646	2.668
5.000	599	595	2.870
5.000	599	599	0.000
5.000	600	576	2.609
5.000	600	600	0.000
5.000	600	644	2.970
5.000	601	593	2.840
5.000	601	601	0.000
5.000	602	602	0.000
5.000	602	626	2.950
5.000	603	603	0.000
5.000	603	647	2.938
5.000	604	604	0.000
5.000	604	608	2.821
5.000	605	589	2.800
5.000	605	605	0.000
5.000	606	590	2.499
5.000	606	606	0.000
5.000	606	610	2.519
5.000	607	583	2.881
5.000	607	607	0.000
5.000	608	604	2.821
5.000	608	608	0.000
5.000	609	609	0.000
5.000	610	606	2.519
5.000	610	610	0.000
5.000	611	583	2.951
5.000	611	611	0.000
5.000	612	580	2.543
5.000	612	596	2.817
5.000	612	612	0.000
5.000	613	613	0.000
5.000	613	617	2.789
5.000	614	586	2.708
5.000	614	614	0.000
5.000	615	615	0.000
5.000	616	616	0.000
5.000	617	597	2.758
5.000	617	613	2.789
5.000	617	617	0.000
5.000	617	645	2.674
5.000	618	618	0.000
5.000	619	619	0.000
5.000	619	623	2.756
5.000	619	635	2.926
5.000	620	620	0.000
5.000	620	644	2.799
5.000	621	621	0.000
5.000	621	633	2.968
5.000	622	622	0.000
5.000	622	634	2.799
5.000	623	619	2.756
5.000	623	623	0.000
5.000	623	639	2.710
5.000	624	624	0.000
5.000	624	628	2.601
5.000	625	593	2.610
5.000	625	625	0.000
5.000	625	629	2.620
5.000	626	594	2.455
5.000	626	602	2.950
5.000	626	626	0.000
5.000	627	595	2.853
5.000	627	627	0.000
5.000	627	631	2.441
5.000	628	624	2.601
5.000	628	628	0.000
5.000	628	636	2.819
5.000	629	625	2.620
5.000	629	629	0.000
5.000	630	594	2.589
5.000	630	630	0.000
5.000	631	627	2.441
5.000	631	631	0.000
5.000	632	592	2.773
5.000	632	632	0.000
5.000	633	621	2.968
5.000	633	633	0.000
5.000	634	622	2.799
5.000	634	634	0.000
5.000	634	646	2.380
5.000	635	595	2.978
5.000	635	619	2.926
5.000	635	635	0.000
5.000	636	580	2.849
5.000	636	628	2.819
5.000	636	636	0.000
5.000	637	637	0.000
5.000	637	645	2.883
5.000	638	581	2.630
5.000	638	638	0.000
5.000	639	623	2.710
5.000	639	639	0.000
5.000	640	577	2.452
5.000	640	584	2.672
5.000	640	588	2.719
5.000	640	640	0.000
5.000	641	576	2.678
5.000	641	641	0.000
5.000	642	579	2.476
5.000	642	582	2.893
5.000	642	642	0.000
5.000	643	578	2.578
5.000	643	583	2.374
5.000	643	643	0.000
5.000	644	592	2.814
5.000	644	596	2.884
5.000	644	600	2.970
5.000	644	620	2.799
5.000	644	644	0.000
5.000	645	617	2.674
5.000	645	637	2.883
5.000	645	645	0.000
5.000	646	598	2.668
5.000	646	634	2.380
5.000	646	646	0.000
5.000	647	603	2.938
5.000	647	647	0.000
10.000	576	576	0.000
10.000	576	589	2.522
10.000	576	592	2.917
10.000	576	600	2.898
10.000	577	577	0.000
10.000	577	604	2.868
10.000	577	640	2.632
10.000	578	578	0.000
10.000	578	611	2.548
10.000	578	643	2.787
10.000	579	579	0.000
10.000	579	586	2.452
10.000	579	642	2.635
10.000	580	580	0.000
10.000	580	612	2.803
10.000	580	636	2.477
10.000	581	581	0.000
10.000	581	630	2.676
10.000	581	638	2.927
10.000	582	582	0.000
10.000	582	614	2.832
10.000	583	583	0.000
10.000	583	607	2.897
10.000	583	643	2.989
10.000	584	584	0.000
10.000	584	640	2.554
10.000	585	585	0.000
10.000	585	605	2.848
10.000	586	579	2.452
10.000	586	586	0.000
10.000	586	614	2.912
