Al index,Si index,distance
168,128,3.1763940189961626
168,142,2.896597615239197
169,73,2.9833097926018217
169,129,3.1316397785120316
169,143,3.089181285883994
169,145,3.0707420041101394
170,74,3.0781366565033297
170,130,3.1273932799123547
170,140,3.0760465839358284
170,146,3.1413669923409016
171,75,2.992780520978221
171,131,3.0569736975916006
171,141,3.0646298219046275
171,147,3.1920643994052855
172,78,3.0848479420631674
172,138,3.151817134970438
172,156,3.072891265241288
173,79,3.0667248331967314
173,133,3.0846468738951733
173,139,3.0352274128888563
173,157,3.1602458281584447
174,76,3.0623168300803147
174,136,3.1171084859808893
174,158,3.064955527935624
175,77,2.997386131966071
175,137,3.1949665775261105
175,159,3.1141881083589418
176,22,3.0115231523705006
176,96,3.066889582214521
176,116,2.9950146065673935
177,23,3.087861460680289
177,97,2.9944867193689837
177,117,3.143583437819637
178,20,3.1694167086140292
178,98,3.11774151272334
178,118,3.036823937334862
179,21,2.9557425012965703
179,99,3.063096022163767
179,119,3.089428701417542
179,123,3.0354205792228717
180,44,2.9738632439583013
180,48,3.0763707860782654
180,64,3.0742922515078064
180,164,3.1020938239610416
181,45,3.199951426072574
181,65,3.0359754753828443
181,165,2.9557499019885056
182,46,3.083858149386182
182,50,3.037427154091451
182,66,3.0847601073662725
182,166,3.0986267678052095
183,47,3.070908734436466
183,51,3.0928897540973326
183,67,3.113265358813858
183,167,2.9359637620048282
184,4,3.1035410465714905
184,37,3.1449015881863005
184,105,3.056649498528851
185,5,3.1610006271834616
185,25,3.1502979404200855
185,36,3.0378952593027404
185,104,3.0553974848312055
186,6,3.0152254824181446
186,39,3.038247210176605
186,107,3.030652559057124
187,7,3.0510755254198068
187,27,3.109294688200566
187,38,3.103471365173777
188,28,3.040353754396325
188,33,2.969745475500309
188,108,3.05051423595828
189,9,3.076440003790979
189,29,3.097838114225244
189,32,3.044734520231946
190,10,3.053728732676311
190,30,2.9438803069206743
190,35,3.0538207756563356
190,110,3.1387275516662365
191,11,3.118456929803482
191,34,3.004713544010288
191,111,3.135134051343001
