O index,O index,distance
192,192,0.0
192,288,2.728831659995582
192,340,2.6758401410616326
192,384,2.727462663897705
192,436,2.61181417028086
192,480,2.621704027904756
192,532,2.7452728300207925
193,193,0.0
193,289,2.665952371044391
193,341,2.650000741115925
193,385,2.641242701831981
193,437,2.6853196175698164
193,481,2.6499904625221222
193,533,2.6192779771140144
194,194,0.0
194,290,2.6286716675381334
194,342,2.778378779867025
194,386,2.6602549819863337
194,438,2.6635100782041823
194,482,2.6659503328162395
194,534,2.5483875641061484
195,195,0.0
195,291,2.675468397811237
195,343,2.7232031910333228
195,387,2.83116224856057
195,439,2.6550806845088566
195,483,2.6079627903027998
195,535,2.649613894070138
196,196,0.0
196,292,2.5839250474005127
196,337,2.7132534484540765
196,388,2.6398572898985635
196,433,2.620469334367755
196,484,2.614970733779445
196,528,2.6154673309410477
197,197,0.0
197,293,2.662514678996891
197,336,2.5315084889126833
197,389,2.7996195104681094
197,432,2.5900755592530396
197,485,2.681139782058636
197,529,2.589702990932084
198,198,0.0
198,294,2.5797452673230983
198,339,2.5675119515439118
198,390,2.72501148504793
198,435,2.489063042081946
198,486,2.606714328878428
198,530,2.6284311486870178
199,199,0.0
199,295,2.560864940301427
199,338,2.79743227017316
199,391,2.7671927730143326
199,434,2.591075786179441
199,487,2.5550968627903097
199,531,2.519802730826936
199,608,2.9680065840632874
200,200,0.0
200,296,2.576666800129916
200,344,2.781570844921408
200,392,2.6543064140582535
200,440,2.575010150990771
200,488,2.481991154182231
200,536,2.6275903057211862
200,613,2.7507355060142626
201,201,0.0
201,297,2.570335977934564
201,345,2.5368982752825717
201,393,2.648826624471613
201,441,2.6875006293522903
201,489,2.539353499697279
201,537,2.5888904251943097
202,202,0.0
202,298,2.640765057146318
202,346,2.6121183905593326
202,394,2.591640883427158
202,442,2.65047509140481
202,490,2.6033800731651717
202,538,2.5279306780694757
203,203,0.0
203,299,2.601625254824824
203,347,2.67279148153725
203,395,2.724676423579319
203,443,2.7677384505498157
203,491,2.609310084306813
203,539,2.60481954450307
204,204,0.0
204,300,2.56289859939141
204,349,2.6951701735155833
204,396,2.6199993124115006
204,445,2.670206787547129
204,492,2.6662934766203565
204,540,2.582361690599149
205,205,0.0
205,301,2.6972812587285975
205,348,2.7141289975391474
205,397,2.6498026030575828
205,444,2.6636072029719347
205,493,2.6306834838645545
205,541,2.692484902308594
206,206,0.0
206,302,2.5754567156722965
206,351,2.706926889091704
206,398,2.761028800584166
206,447,2.558504588796753
206,494,2.598757991080607
206,542,2.648244363579877
207,207,0.0
207,303,2.7450223104573146
207,350,2.7192217603698525
207,399,2.53886045229826
207,446,2.591144790199563
207,495,2.666586534332252
207,543,2.622246555428115
208,208,0.0
208,304,2.6317883221922513
208,380,2.553188456405795
208,400,2.5648683208230554
208,476,2.647244709980848
208,498,2.5990173861598667
208,572,2.606112317528999
209,209,0.0
209,305,2.699530141451959
209,381,2.6641197817224396
209,401,2.6265974330821904
209,477,2.650046927828156
209,499,2.5734412480381814
209,573,2.6620642625686615
210,210,0.0
210,306,2.542555441815018
210,382,2.684948615784233
210,402,2.709115987520406
210,478,2.611772168985151
210,496,2.6718999722208263
210,574,2.592795991076477
211,211,0.0
211,307,2.6522659948509246
211,383,2.643887025198771
211,403,2.6686240071076224
211,479,2.683947181689825
211,497,2.5559280570519967
211,575,2.6473686340099567
212,212,0.0
212,310,2.6722601185499832
212,378,2.813716783465381
212,404,2.6989969908046114
212,474,2.7738607548488363
212,500,2.6316186654601177
212,570,2.7332372989576905
212,602,2.7111376890908216
213,213,0.0
213,311,2.6269891531136484
213,379,2.8916810662089945
213,405,2.6113188375475325
213,475,2.7026372258203506
213,501,2.6209853204109996
213,571,2.7781942342959147
213,621,2.5484314738019123
214,214,0.0
214,308,2.645507419503389
214,376,2.908454982807129
214,406,2.656520384126412
214,472,2.865373141378016
214,502,2.4857131390572658
