Si index,O index,distance
0,192,1.648167676692139
0,288,1.5726744903809378
0,384,1.6106224374194968
0,480,1.6236864731762535
1,193,1.6049224263668265
1,289,1.555902248457234
1,385,1.606868928458634
1,481,1.587491091271924
2,194,1.6635843499737721
2,290,1.5983344886207165
2,386,1.6327629998949273
2,482,1.5815133227722786
3,195,1.6000567525600378
3,291,1.6863314301892591
3,387,1.6203296510059007
3,483,1.5738834367036678
4,196,1.6087334771990425
4,292,1.6169559656515726
4,388,1.6250818175297996
4,484,1.6265524231724326
5,197,1.6085872837322692
5,293,1.6025003400331692
5,389,1.6138764271485053
5,485,1.6537767927126217
6,198,1.6167562836605407
6,294,1.6658652885263192
6,390,1.5623363244152757
6,486,1.6375993778204079
7,199,1.57538429494212
7,295,1.5869281773500077
7,391,1.5636191419958514
7,487,1.5974612777925417
8,200,1.6256718716556573
8,296,1.5953670233732893
8,392,1.5991789752658876
8,488,1.6503801313333089
9,201,1.6039536749753658
9,297,1.6294869814997253
9,393,1.5826054273599137
9,489,1.6134126939284017
10,202,1.6109214829057505
10,298,1.6903110945367146
10,394,1.607053194242112
10,490,1.573867497619832
11,203,1.6732082023984365
11,299,1.6355069143186771
11,395,1.5664018308725882
11,491,1.5861249330701637
12,204,1.627015079249212
12,300,1.583920367034817
12,396,1.5661213220290813
12,492,1.580772444247055
13,205,1.5781710312292412
13,301,1.5939739524094703
13,397,1.620845136480682
13,493,1.6163159006395185
14,206,1.6279005671197568
14,302,1.6434402486038984
14,398,1.5739953813780687
14,494,1.6107418337190216
15,207,1.5988372875773205
15,303,1.6589752479881013
15,399,1.593343778978073
15,495,1.6260654046568057
16,208,1.585545498365331
16,304,1.6740097508124698
16,400,1.6541487963735244
16,498,1.5770807680925736
17,209,1.617040760938978
17,305,1.6371524222530396
17,401,1.623448835784331
17,499,1.5706338038153502
18,210,1.612531030087238
18,306,1.6413429334481184
18,402,1.6014696780042645
18,496,1.5960564679449525
19,211,1.5591469877995237
19,307,1.6488530618370962
19,403,1.6060242982790507
19,497,1.591964909331917
20,212,1.659556593008263
20,310,1.596095673097291
20,404,1.6289711059294976
20,500,1.5984857536483226
21,213,1.5883147340392236
21,311,1.6303704929721219
21,405,1.610269574292018
21,501,1.633397572524365
22,214,1.5677129844269322
22,308,1.6353144004832838
22,406,1.6573043714844609
22,502,1.6281425382189396
23,215,1.6019435343354842
23,309,1.655185139080491
23,407,1.5831811972621426
23,503,1.5964844808575922
24,224,1.6162344675316047
24,320,1.5754880131749331
24,416,1.6053528615910293
24,512,1.674471273248004
25,225,1.6182671431821578
25,321,1.6149468230750403
25,417,1.6339118006870328
25,513,1.5630693754849538
26,226,1.6057111695166175
26,322,1.5640143350612876
26,418,1.6053471471715928
26,514,1.73976208046357
27,227,1.6461602318075137
27,323,1.6503670846395837
27,419,1.6063667779195416
27,515,1.6088060006440876
28,228,1.6102053706467527
28,324,1.5740477012686764
28,420,1.6309818119737123
28,516,1.664803891019693
29,229,1.6248663450860903
29,325,1.5289735664229915
29,421,1.5576215247593626
29,517,1.6235209460246742
30,230,1.6463892321865203
30,326,1.5695379706500092
30,422,1.6423732971777398
30,518,1.5806881531637673
31,231,1.5898621905941122
31,327,1.586808578271891
31,423,1.613946929086973
31,519,1.6006339123320608
32,232,1.654587834255888
32,329,1.5958828179968036
32,424,1.6636332374918341
32,521,1.6048943385466137
33,233,1.6228535451538955
33,328,1.6354437911578592
33,425,1.6308793446726555
33,520,1.5810505822530008
34,234,1.643798853537638
34,331,1.6099462191883975
