Atom1 Index,Atom2 Index,Average Correlation
576,178,0.05
577,173,0.38
577,179,0.05
578,176,0.38
579,177,0.43
580,188,0.38
581,178,0.05
582,168,0.43
582,191,0.71
583,170,0.10
585,171,0.62
585,188,0.05
586,188,0.24
587,169,0.10
588,169,0.57
589,173,0.05
589,188,0.05
590,191,0.62
591,190,0.33
592,178,0.38
593,179,0.33
593,183,0.19
594,176,0.05
595,177,0.05
595,181,0.19
595,185,0.14
596,173,0.86
596,185,0.76
597,180,0.05
597,184,0.62
598,183,0.05
599,178,0.43
599,182,0.05
600,170,0.33
601,171,0.10
601,185,0.43
602,168,0.19
602,178,0.10
603,179,0.33
603,183,0.24
605,168,0.05
606,177,0.24
606,181,0.43
607,176,0.05
608,177,0.10
609,176,0.67
609,180,0.67
610,183,0.24
611,190,0.05
612,181,0.33
613,171,0.24
613,180,0.29
613,188,0.10
614,183,0.24
615,182,0.62
616,170,0.48
617,171,0.10
617,177,0.10
617,181,0.10
618,168,0.38
619,187,0.71
620,178,0.05
622,169,0.14
622,190,0.57
623,171,0.10
623,177,0.33
